transaction_id,customer_id,amount,transaction_time,merchant_type,is_fraud,age,gender,income,account_balance,transaction_frequency,customer_segment,atm_id,atm_location,cash_withdrawal_amount,loan_id,loan_amount,credit_score,loan_status,news_headline,sentiment_score,stock_ticker
1,4174,2520.8,1/1/2025 0:00,Medical,0,69,Female,85031,245868.64,59,High Value,39,Bengaluru,38291.65,5001,737073,753,Paid,Company faces regulatory issues,0.09,SBIN
2,4507,3654.36,1/1/2025 0:01,Retail,0,63,Female,25047,499830.13,4,High Value,18,Chennai,7062.71,5002,2324877,778,In Progress,Tech stocks rally on innovation,0.68,INFY
3,1860,20149.64,1/1/2025 0:02,Medical,0,31,Male,164111,388402.94,39,Medium,34,Hyderabad,23130.33,5003,1884361,558,Paid,Banking sector sees strong growth,-0.53,ICICIBANK
4,2294,14771.57,1/1/2025 0:03,Medical,1,63,Female,181373,484492.02,7,High Value,34,Delhi,25224.88,5004,2332992,352,Paid,Oil prices surge on global conflict,0.75,ICICIBANK
5,2130,11626.89,1/1/2025 0:04,Bill,0,61,Other,194779,171504.58,71,New,42,Chennai,15310.03,5005,2010943,742,Paid,Rupee weakens against Dollar,0.47,TCS
6,2095,14057.41,1/1/2025 0:05,Travel,0,55,Female,191186,61963.57,49,New,3,Hyderabad,8297.34,5006,363466,719,Paid,Global markets fall due to uncertainty,0.35,ICICIBANK
7,4772,40176.1,1/1/2025 0:06,Food,0,37,Other,36366,253194.95,89,High Value,19,Mumbai,35615.85,5007,1393074,548,Paid,Banking sector sees strong growth,-0.73,RELIANCE
8,4092,46462.11,1/1/2025 0:07,Retail,0,62,Other,166817,62557.62,15,New,34,Kolkata,13946.98,5008,603737,592,In Progress,Global markets fall due to uncertainty,-0.05,SBIN
9,2638,20261.08,1/1/2025 0:08,Fuel,0,65,Other,189154,246479.63,7,Medium,26,Chennai,31270.28,5009,1775893,506,Default,Company faces regulatory issues,-0.45,TCS
10,3169,45306.49,1/1/2025 0:09,Travel,1,58,Other,157425,135335.54,47,High Value,35,Hyderabad,16197.23,5010,2797210,400,Paid,Oil prices surge on global conflict,0.18,SBIN
11,1466,16081.57,1/1/2025 0:10,Fuel,0,51,Female,40080,245778.08,68,Medium,41,Chennai,25361.19,5011,425879,514,Paid,Market rises amid strong earnings,0.35,TCS
12,2238,23827.08,1/1/2025 0:11,Online,0,71,Other,33788,474843.28,98,High Value,43,Chennai,16918.93,5012,516669,599,Paid,Oil prices surge on global conflict,-0.87,INFY
13,1330,11309.19,1/1/2025 0:12,Food,0,46,Male,181041,144872.52,45,Medium,31,Chennai,20646.75,5013,1359419,875,Paid,Banking sector sees strong growth,0.29,WIPRO
14,2482,32027.4,1/1/2025 0:13,Travel,0,20,Other,75633,496720.31,19,Medium,43,Bengaluru,36630.12,5014,2741067,734,Paid,Oil prices surge on global conflict,0,ICICIBANK
15,3135,48949.27,1/1/2025 0:14,Travel,0,27,Male,142461,115050.07,47,Medium,27,Mumbai,44202.86,5015,164630,538,Paid,Oil prices surge on global conflict,0.68,SBIN
16,4444,30178.62,1/1/2025 0:15,Fuel,0,37,Other,151731,104450.14,53,New,3,Delhi,25486.41,5016,727233,423,Paid,Company faces regulatory issues,0.59,INFY
17,4171,17897.13,1/1/2025 0:16,Retail,0,19,Other,48921,272621.87,27,Medium,37,Delhi,30551.53,5017,763400,817,Paid,Market rises amid strong earnings,-0.17,ICICIBANK
18,3919,32394.39,1/1/2025 0:17,Online,0,44,Female,150233,421101.45,5,Low,12,Chennai,43234.05,5018,870325,448,Paid,Market rises amid strong earnings,0.95,TCS
19,4735,6154.8,1/1/2025 0:18,Fuel,0,49,Other,161575,374877.01,60,Medium,47,Hyderabad,7246.8,5019,875085,356,Default,Company faces regulatory issues,0.17,RELIANCE
20,1130,44434.07,1/1/2025 0:19,Travel,0,73,Other,39982,361906.7,77,Medium,23,Chennai,8193.68,5020,1851394,455,Paid,Company faces regulatory issues,0.93,SBIN
21,2685,25159.17,1/1/2025 0:20,Food,0,27,Female,84014,141675.15,62,Medium,17,Bengaluru,18025.92,5021,1084393,896,Paid,Company faces regulatory issues,0.44,WIPRO
22,4380,22472.99,1/1/2025 0:21,Travel,0,57,Female,67632,11747.13,59,Medium,16,Bengaluru,15522.51,5022,2132215,835,Paid,Global markets fall due to uncertainty,-0.18,TCS
23,1769,29297.38,1/1/2025 0:22,Bill,1,34,Male,173244,81293.27,61,High Value,17,Chennai,49320.05,5023,933860,414,Paid,Corporate layoffs rise across tech firms,-0.53,HDFCBANK
